"","ID","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","V2","V3","V4"
"33","MPH3",228.149563995609,-1.65757917812008,0.176725936895936,-9.37937694508383,6.63637190775965e-21,8.89424662274061e-19,"  Verified ","",""
"34","NCA3",507.665018310359,1.4661131387553,0.101658559642223,14.4219349941129,3.76633285653614e-47,2.7762581068742e-44,"  Verified ","",""
"35","OYE3",55.5305677594217,1.69838980666947,0.297333583780883,5.71206852947052,1.11611122631605e-08,5.26536632126858e-07,"  Verified ","",""
"36","PAU18",11.4358118064417,-7.00206806215889,1.27264084530234,-5.50199853164026,3.75510083166392e-08,1.60462533364653e-06,"  Verified ","",""
"37","PAU6",11.4358118064417,-7.00206806215889,1.27264084530234,-5.50199853164026,3.75510083166392e-08,1.60462533364653e-06," Verified ","",""
"38","PHO11",253.698355504666,-11.476612430229,1.18397682562764,-9.69327454880298,3.22034700908616e-22,4.63180153965393e-20," Verified ","",""
"39","PHO12",921.508844763668,-12.3749189329449,1.1812140461953,-10.476440720295,1.10836895456289e-25,2.04251616408042e-23," Verified ","",""
"40","RNR3",281.516261689108,1.45565010034166,0.129655093605094,11.2270953640688,3.00185104694275e-29,1.04128915434244e-26,"  Verified ","",""
"41","SEO1",84.6559000980917,1.48809272764871,0.219261314478254,6.78684578348772,1.14611604183676e-11,7.82874832834005e-10,"  Verified ","",""
"42","SNO2",32.2657319312475,-8.5037211604927,1.21310436126213,-7.0098842540186,2.38515360255802e-12,1.71527448710789e-10,"  Verified ","",""
"43","SNZ2",63.6619453068392,-9.48239000843805,1.196478971219,-7.92524585599457,2.27695381038908e-15,2.03442373028249e-13," Verified ","",""
"44","SOR2",37.6610627078933,-8.72573311100493,1.21409856818464,-7.18700551970169,6.62277342140082e-13,5.07201232025982e-11,"  Verified ","",""
"45","THI12",9.4240241067211,-6.73225614438716,1.3096613886387,-5.14045554277574,2.74073168576493e-07,1.01013092193474e-05," Verified ","",""
"46","THI13",15.7648764016178,-7.47264245997584,1.25253797587471,-5.96600071527355,2.43139217636569e-09,1.23602755724383e-07," Verified ","",""
"47","VBA5",148.126056236436,-8.84388071431792,1.03015141658159,-8.58502990139555,9.08128052336749e-18,9.07666292310137e-16,"  Verified ","",""
"48","VTH1",909.556017944612,1.47459952651953,0.108707315510623,13.5648600978968,6.4703001080554e-42,3.46866906701843e-39," Verified ","",""
"49","VTH2",231.420369358199,-11.3446248928061,1.18806815066606,-9.54879977755992,1.31207488565763e-21,1.84221561921978e-19," Verified ","",""
"50","YDR541C",336.734564450782,1.19199999949556,0.143346097004155,8.31553857696598,9.13365278891736e-17,8.68728233810414e-15,"  Verified ","",""
"51","YKU80",116.567077163712,7.81490634627882,0.846838622069345,9.22833010046497,2.74883754561439e-20,3.52389021880175e-18,"  Verified ","",""
"52","YPR204W",2080.22275322979,-6.60611545553461,0.595795369573006,-11.0878932480947,1.43630560304621e-28,4.03328292436358e-26," Verified ","",""
"53","YRF1-1",751.806824086606,-13.0445939537962,1.18138999158593,-11.0417339292715,2.40349691975734e-28,5.4513158983881e-26," Verified ","",""
"54","YRF1-4",2178.58457755726,-11.7232527760227,0.72406742474602,-16.1908302671327,5.85334162907269e-59,5.75285926444027e-56," Verified ","",""
"55","YRF1-5",751.806824086606,-13.0445939537962,1.18138999158593,-11.0417339292715,2.40349691975734e-28,5.4513158983881e-26," Verified ","",""
"56","YRF1-6",1157.58813986277,-13.6666849328016,1.18080675807474,-11.5740233017337,5.58031393818469e-31,2.19380741956501e-28,"  Verified ","",""
