"","ID","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"THI13","THI13",15.7648764016178,-7.47264245997584,1.25253797587471,-5.96600071527355,2.43139217636569e-09,1.23602755724383e-07
"HXT15","HXT15",153.46403583784,-1.5477426220887,0.202950511809133,-7.62620704077993,2.41761443220019e-14,2.00798201502599e-12
"SOR2","SOR2",37.6610627078933,-8.72573311100493,1.21409856818464,-7.18700551970169,6.62277342140082e-13,5.07201232025982e-11
"COS7","COS7",253.716065672818,-11.4767351504068,1.18372452139609,-9.69544428873624,3.15262549088839e-22,4.63180153965393e-20
"FIT1","FIT1",108.173054234554,1.13793624392534,0.245060894657525,4.64348359421284,3.425832073873e-06,0.000105770323244131
"YDR541C","YDR541C",336.734564450782,1.19199999949556,0.143346097004155,8.31553857696598,9.13365278891736e-17,8.68728233810414e-15
"YRF1-1","YRF1-1",751.806824086606,-13.0445939537962,1.18138999158593,-11.0417339292715,2.40349691975734e-28,5.4513158983881e-26
"HXT13","HXT13",9.15508986570205,-6.68219953052608,1.29121141063916,-5.17513977607922,2.27740421022723e-07,8.49990672639871e-06
"DSF1","DSF1",13.6739727850171,-7.26035346124484,1.25722132088851,-5.77492072447019,7.69893246131146e-09,3.72136104297981e-07
"YEL073C","YEL073C",13.5245082164379,-7.24387107788235,1.259095065089,-5.75323601746488,8.75511181379524e-09,4.19747108666265e-07
"YEL076C","YEL076C",33.1546842933667,-8.54257595431717,1.21154224005756,-7.0509930829249,1.77645327628337e-12,1.30946812128038e-10
"YEL077C","YEL077C",403.105102701382,-12.1441639794316,1.18218575510821,-10.272636027762,9.36112283164737e-25,1.57721546680641e-22
"YER189W","YER189W",9.4504312295499,-6.72393818521549,1.3011625428185,-5.16763891054727,2.37069759431119e-07,8.79245516581955e-06
"YER190C-B","YER190C-B",206.175152674035,-4.90200020986357,1.02122027405523,-4.80013992514846,1.58554810542525e-06,5.31248703277994e-05
"YRF1-2","YRF1-2",383.239056658052,-3.98500285893599,0.802396574705905,-4.96637571065975,6.82157376937707e-07,2.42330244084437e-05
"HSP12","HSP12",102.106187105737,1.98015801846065,0.225959030840774,8.76334975899239,1.89532451542076e-18,1.96082959077829e-16
"AAD6","AAD6",544.934798022455,1.07773353337584,0.104157288267195,10.3471735037026,4.31023007229607e-25,7.47571374597938e-23
"THI5","THI5",26.1584070558015,1.94093467081729,0.449389972664633,4.31904312263271,1.56707163056862e-05,0.000421964447738042
"COS4","COS4",14.4149642677362,-7.33955954981055,1.25813899921535,-5.83366349376969,5.42234241333918e-09,2.64260770342654e-07
"YFL064C","YFL064C",6.7779638469869,-6.24637266836041,1.33242651341059,-4.6879678582586,2.75931342058942e-06,8.70142847123841e-05
"YFL066C","YFL066C",123.776672543951,-10.4397502417157,1.1888474941869,-8.78140408484934,1.61446388671632e-18,1.73099882544839e-16
