gene_id,BY4742_R1,BY4742_R2,BY4742_R3,SY14_R1,SY14_R2,SY14_R3
YBR035C_PDX3,1634,1634,1540,1529,1645,1688
YBR036C_CSG2,2931,2931,2910,2978,2845,3127
YBR037C_SCO1,559,559,535,511,516,539
YBR038W_CHS2,1259,1259,1218,1078,1222,1457
YBR039W_ATP3,1920,1920,2139,1833,2068,2084
YBR040W_FIG1,16,16,21,16,27,6
YBR041W_FAT1,1399,1399,1473,1297,1305,1475
YBR042C_CST26,1226,1226,1261,1073,1115,1175
YBR043C_QDR3,969,969,971,948,892,1098
YBR044C_TCM62,492,492,471,443,462,463
YBR045C_GIP1,73,73,54,53,61,83
YBR046C_ZTA1,558,558,483,590,522,620
YBR047W_FMP23,71,71,62,69,68,83
YBR048W_RPS11B,11341,11341,11546.96,11058.37,10805.67,12060
YBR049C_REB1,974,974,910,879,782,1064
YBR050C_REG2,90,90,86,109.48,107.76,165.85
YBR051W,9,9,3,15.52,14.24,8.15
YBR052C_RFS1,1197,1197,1168,1269,1200,1402
YBR053C,478,478,529,542,518,596
YBR054W_YRO2,240,240,226,174,286,249
YBR055C_PRP6,749,749,808,796,747,890
YBR056C-B,3.02,3.02,0.09,1.81,3.55,1.99
YBR056W,987,987,1155,954,915,1191
YBR056W-A,21.98,21.98,21.91,26.19,37.45,22.01
YBR057C_MUM2,815,815,748,761,768,864
YBR058C_UBP14,1411,1411,1443,1270,1382,1474
YBR058C-A_TSC3,200,200,147,223,221,164
YBR059C_AKL1,1260,1260,1238,1215,1295,1453
YBR060C_ORC2,804,804,677,655,668,776
YBR061C_TRM7,965,965,958,939,834,1032
YBR062C,629,629,623,732,647,722
YBR063C,259.74,259.74,229,211,193.83,255.14
YBR064W,6.26,6.26,0,0,4.17,4.86
YBR065C_ECM2,348,348,337,272,377,347
YBR066C_NRG2,335,335,244,254,280,311
YBR067C_TIP1,5860,5860,5308,5541,7312,7791
YBR068C_BAP2,9470,9470,9042,9678,7583,9182
YBR069C_TAT1,5672,5672,5496,5353,5051,5494
YBR070C_ALG14,463,463,418,430,539,541
YBR071W,841,841,795,737,803,885
YBR072C-A,0,0,0,0,0,0
YBR072W_HSP26,114,114,93,308,267,304
YBR073W_RDH54,1444,1444,1358,1335,1455,1558
YBR074W,1150,1150,1100,955,961,1125
YBR076C-A,17,17,7,9,16,16
YBR076W_ECM8,60,60,50,66,80,73
YBR077C_SLM4,412,412,350,364,377,400
YBR078W_ECM33,12990,12990,13499,11254,11978,13496
YBR079C_RPG1,7538,7538,7265,7085,7287,8505
YBR080C_SEC18,1566,1566,1834,1586,1480,1771
YBR081C_SPT7,778,778,668,645,680,792
YBR082C_UBC4,3334,3334,3165,3197,3332,3567
YBR083W_TEC1,798,798,761,609,589,691
YBR084C-A_RPL19A,20409.59,20409.59,21191.46,18267.37,17102.27,18416.86
YBR084W_MIS1,3708,3708,3746,3413,3246,3771
YBR085C-A,257,257,201,267,354,309
YBR085W_AAC3,265,265,267,229,205,261
YBR086C_IST2,2400,2400,2622,2215,2287,2755
YBR087W_RFC5,769,769,754,712,700,877
YBR088C_POL30,1990.47,1990.47,1742.25,1642.69,1721.83,1848.48
YBR089C-A_NHP6B,775.99,775.99,597.97,692.99,696.97,693.97
YBR089W,93.53,93.53,110.75,98.31,94.17,117.52
YBR090C,24.01,24.01,17.03,11.01,31.03,19.03
YBR091C_TIM12,261,261,247,302,261,296
YBR092C_PHO3,6494,6494,6462,4472,5607,5700
YBR093C_PHO5,1119,1119,1052,1924,1622,2056
YBR094W_PBY1,678,678,721,595,625,737
YBR095C_RXT2,487,487,423,414,444,515
YBR096W,898,898,879,753,788,945
YBR097W_VPS15,365,365,337,324,322,422
YBR098W_MMS4,282.36,282.36,247.05,256.6,233.59,297.39
YBR099C,16.64,16.64,12.95,3.4,25.41,21.61
YBR101C_FES1,2144,2144,1910,2519,2085,2515
YBR102C_EXO84,622,622,588,613,597,689
YBR103C-A,0,0,0,0,0,0
YBR103W_SIF2,752,752,692,781,707,822
YBR104W_YMC2,1143,1143,1025,1072,1025,1100
YBR105C_VID24,1602,1602,1268,1540,1757,1928
YBR106W_PHO88,11032,11032,10803,11653,10184,11026
YBR107C_IML3,242,242,225,259,257,309
YBR108W_AIM3,579,579,505,583,603,641
YBR109C_CMD1,2497,2497,2393,2173,2228,2487
YBR109W-A,0,0,0,0,0,0
YBR110W_ALG1,1122,1122,1036,965,1002,1212
YBR111C_YSA1,2029,2029,1976,1833,1572,1768
YBR111W-A_SUS1,210,210,160,160,211,203
YBR112C_CYC8,1315.21,1315.21,1386.55,1371.17,1444.25,1723.96
YBR113W,100.79,100.79,108.45,104.83,79.75,127.04
YBR114W_RAD16,1116,1116,1150,1272,1314,1343
YBR115C_LYS2,0,0,0,0,0,0
YBR116C,24.89,24.89,25.62,17.65,21.48,28.65
YBR117C_TKL2,159.11,159.11,149.38,145.35,176.52,176.35
YBR118W_TEF2,162495.95,162495.95,170001.42,157937.35,152610.19,170451.27
YBR119W_MUD1,378,378,365,284,325,375
YBR120C_CBP6,275,275,234,256,259,301
YBR121C_GRS1,8698,8698,8859,8338,8279,9633
YBR121C-A,0,0,0,0,0,0
YBR122C_MRPL36,792,792,662,728,744,761
YBR123C_TFC1,730.8,730.8,723,683.86,627.53,744.84
YBR124W,7.2,7.2,4,7.14,7.47,4.16
YBR125C_PTC4,622,622,571,575,499,675
YBR126C_TPS1,2016,2016,2074,2374,2228,2806
YBR126W-A_MEO1,63,63,59,105,96,86
YBR126W-B,0,0,0,0,3,0
YBR127C_VMA2,8507,8507,8459,7957,7767,8835
YBR128C_ATG14,130,130,145,133,127,163
YBR129C_OPY1,637,637,597,600,536,672
YBR130C_SHE3,1138,1138,1164,1055,1052,1204
YBR131C-A,0,0,0,0,0,0
YBR131W_CCZ1,397,397,354,317,306,348
YBR132C_AGP2,262,262,259,319,212,301
YBR133C_HSL7,952,952,945,936,927,1089
YBR134W,0,0,1,0,1,2
YBR135W_CKS1,336,336,288,291,353,367
YBR136W_MEC1,208,208,208,214,215,252
YBR137W,244,244,268,263,301,311
YBR138C,230,230,244,179,219,255
YBR139W,598,598,626,559,660,715
YBR140C_IRA1,558,558,631,523,586,781
YBR141C_BMT2,532,532,489,614,575,568
YBR141W-A,0,0,0,0,0,0
YBR142W_MAK5,2074,2074,1930,1824,1928,2049
YBR143C_SUP45,7304,7304,7460,6610,6766,7466
YBR144C,0,0,0,2,0,5
YBR145W_ADH5,1243,1243,1090,1011,921,1169
YBR146W_MRPS9,1058,1058,965,1018,964,1033
YBR147W_RTC2,37,37,33,31,38,36
YBR148W_YSW1,97,97,61,59,68,72
YBR149W_ARA1,2057,2057,1964,2072,2091,2362
YBR150C_TBS1,225,225,217,262,251,346
YBR151W_APD1,1580,1580,1454,1509,1355,1574
YBR152W_SPP381,228,228,214,229,193,231
YBR153W_RIB7,412,412,395,362,395,465
YBR154C_RPB5,2315,2315,2381,2235,2147,2422
YBR155W_CNS1,1250,1250,1157,1267,1274,1399
YBR156C_SLI15,398,398,374,381,402,481
YBR157C_ICS2,276,276,277,301,226,276
YBR158W_AMN1,3147,3147,3379,2967,3321,3702
YBR159W_IFA38,2675,2675,2664,2650,2521,2839
YBR160W_CDC28,930,930,780,802,893,982
YBR161W_CSH1,388,388,345,324,384,442
YBR162C_TOS1,10026,10026,10122,8832,9017,10200
YBR162W-A_YSY6,167,167,136,156,170,117
YBR163W_EXO5,816,816,724,794,713,873
YBR164C_ARL1,842,842,776,667,739,805
YBR165W_UBS1,353,353,343,301,295,387
YBR166C_TYR1,1089,1089,955,998,944,1091
YBR167C_POP7,305,305,364,319,295,330
YBR168W_PEX32,261,261,314,218,253,303
YBR169C_SSE2,519,519,523,458,513,600
YBR170C_NPL4,967,967,978,1036,998,1176
YBR171W_SEC66,1472,1472,1440,1264,1231,1395
YBR172C_SMY2,1609,1609,1588,1368,1575,1871
YBR173C_UMP1,950,950,896,974,1029,1049
YBR174C,4.32,4.32,1.12,2.33,2.34,2.24
YBR175W_SWD3,557.68,557.68,511.88,466.67,505.66,555.76
YBR176W_ECM31,315,315,276,260,246,257
YBR177C_EHT1,1430,1430,1309,1329,1249,1392
YBR178W,1,1,2,3,0,1
YBR179C_FZO1,699,699,674,616,654,710
YBR180W_DTR1,102,102,101,73,95,71
YBR181C_RPS6B,22778.48,22778.48,23977.33,18666.42,20142.99,21068.2
YBR182C_SMP1,181,181,159,137,142,161
YBR182C-A,0,0,0,0,0,0
YBR183W_YPC1,83,83,91,72,99,97
YBR184W,42,42,21,32,37,49
YBR185C_MBA1,253,253,264,283,252,319
YBR186W_PCH2,222,222,254,231,260,287
YBR187W_GDT1,2540,2540,2418,2369,2206,2528
YBR188C_NTC20,98,98,122,105,122,120
YBR189W_RPS9B,34459.75,34459.75,34820.87,30794,29960.78,32015.92
YBR190W,1,1,0,0,0,0
YBR191W_RPL21A,22174.46,22174.46,22806.51,17401.06,17885.38,20043.07
YBR191W-A,0,0,0,0,0,0
YBR192W_RIM2,639,639,635,552,554,649
YBR193C_MED8,337,337,370,318,315,374
YBR194W_AIM4,85,85,72,87,92,73
YBR195C_MSI1,624,624,626,523,532,618
YBR196C_PGI1,17009,17009,18264,15816,16393,19072
YBR196C-A,0,0,0,0,0,0
YBR196C-B,0,0,0,0,0,0
YBR197C,440,440,363,396,398,404
YBR198C_TAF5,1863,1863,1739,1922,1792,2111
YBR199W_KTR4,1800,1800,1812,1625,1618,1856
YBR200W_BEM1,1089,1089,1042,998,1061,1181
YBR200W-A,0,0,0,0,0,0
YBR201C-A,1,1,0,2,0,2
YBR201W_DER1,152,152,127,137,152,181
