YDL162C,  Dubious ,,
ENT1, Verified ,,
MHF2,  Verified ,,
DHH1,  Verified ,,
YDL159W-A, Uncharacterized ,,
STE7, Verified ,,
YDL159C-B,  Dubious ,,
YDL158C,  Dubious ,,
DMO2,  Uncharacterized ,,
CMR1, Verified ,,
CLB3, Verified ,,
MSH5, Verified ,,
SAS10,  Verified ,,
YDL152W, Dubious ,,
BUD30,  Dubious ,,
RPC53, Verified ,,
ATG9, Verified ,,
NOP14,  Verified ,,
RPN5, Verified ,,
LDB17, Verified ,,
COP1,  Verified ,,
YDL144C,  Verified ,,
CCT4, Verified ,,
CRD1,  Verified ,,
BPL1, Verified ,,
RPO21,  Verified ,,
SCM3,  Verified ,,
RGT2, Verified ,,
ARF2, Verified ,,
RPL35B, Verified ,,
RDI1,  Verified ,,
PPH21,  Verified ,,
RPL41B,  Verified ,,
SRF1, Verified ,,
CDC53, Verified ,,
LYS21, Verified ,,
STF1, Verified ,,
RPP1B, Verified ,,
YDL129W, Verified ,,
VCX1, Verified ,,
PCL2, Verified ,,
CDC48,  Verified ,,
HNT1,  Verified ,,
YDL124W, Verified ,,
SNA4, Verified ,,
UBP1, Verified ,,
EXP1,  Verified ,,
YFH1, Verified ,,
HEM25,  Verified ,,
YDL118W, Dubious ,,
CYK3, Verified ,,
NUP84, Verified ,,
IWR1,  Verified ,,
YDL114W-A, Dubious ,,
YDL114W, Uncharacterized ,,
ATG20,  Verified ,,
TRM3, Verified ,,
RRP42,  Verified ,,
TMA17,  Verified ,,
YDL109C,  Uncharacterized ,,
KIN28, Verified ,,
MSS2, Verified ,,
PHO2,  Verified ,,
NSE4, Verified ,,
QRI7,  Verified ,,
QRI1,  Verified ,,
POL3, Verified ,,
DUN1,  Verified ,,
GET3,  Verified ,,
BUG1, Verified ,,
SNU23,  Verified ,,
RPN6,  Verified ,,
OPI6,  Dubious ,,
PMT1, Verified ,,
YDL094C,  Dubious ,,
PMT5, Verified ,,
SRP14, Verified ,,
UBX3,  Verified ,,
RAM1,  Verified ,,
NUR1, Verified ,,
ASM4,  Verified ,,
LUC7,  Verified ,,
YDL086W, Uncharacterized ,,
YDL086C-A,  Dubious ,,
YDL085C-A,  Verified ,,
NDE2, Verified ,,
SUB2, Verified ,,
RPS16B,  Verified ,,
RPL13A, Verified ,,
RPP1A,  Verified ,,
THI3,  Verified ,,
MRK1,  Verified ,,
MDH3,  Verified ,,
VAM6,  Verified ,,
RXT3,  Verified ,,
RPL31A, Verified ,,
BRE1,  Verified ,,
AHK1, Verified ,,
YET3,  Verified ,,
YDL071C,  Dubious ,,
BDF2, Verified ,,
CBS1,  Verified ,,
YDL068W, Dubious ,,
COX9,  Verified ,,
IDP1, Verified ,,
PEX19,  Verified ,,
UBC9, Verified ,,
SYO1,  Verified ,,
YDL062W, Dubious ,,
RPS29B,  Verified ,,
TSR1, Verified ,,
RAD59,  Verified ,,
USO1, Verified ,,
YDL057W, Uncharacterized ,,
MBP1, Verified ,,
PSA1,  Verified ,,
MCH1,  Verified ,,
PBP4,  Verified ,,
SLC1,  Verified ,,
LHP1, Verified ,,
YDL050C,  Dubious ,,
KNH1,  Verified ,,
STP4,  Verified ,,
SIT4, Verified ,,
NPC2, Verified ,,
MRP10, Verified ,,
FAD1,  Verified ,,
MTF2,  Verified ,,
PRP11,  Verified ,,
SIR2,  Verified ,,
YDL041W, Dubious ,,
NAT1,  Verified ,,
PRM7,  Verified ,,
BSC1,  Verified ,,
PUS9,  Verified ,,
GPR1,  Verified ,,
YDL034W, Dubious ,,
SLM3,  Verified ,,
YDL032W, Dubious ,,
DBP10, Verified ,,
PRP9, Verified ,,
ARP2, Verified ,,
MPS1,  Verified ,,
MRX9,  Uncharacterized ,,
YDL026W, Dubious ,,
RTK1,  Verified ,,
YDL025W-A, Dubious ,,
DIA3,  Verified ,,
YDL022C-A,  Uncharacterized ,,
YDL023C,  Dubious ,,
GPD1, Verified ,,
GPM2, Verified ,,
RPN4,  Verified ,,
OSH2,  Verified ,,
ERP3,  Verified ,,
CDC7, Verified ,,
YDL016C,  Dubious ,,
TSC13,  Verified ,,
NOP1, Verified ,,
SLX5, Verified ,,
YDL012C,  Verified ,,
YDL011C,  Dubious ,,
GRX6, Verified ,,
YDL009C,  Uncharacterized ,,
APC11, Verified ,,
YDL007C-A,  Uncharacterized ,,
RPT2, Verified ,,
PTC1, Verified ,,
MED2,  Verified ,,
ATP16, Verified ,,
MCD1, Verified ,,
NHP10,  Verified ,,
RMD1, Verified ,,
NTH1,  Verified ,,
YRB1, Verified ,,
RCR2, Verified ,,
YDR003W-A, Uncharacterized ,,
RAD57, Verified ,,
MAF1,  Verified ,,
SOK1,  Verified ,,
TRP1, Verified ,,
