gene_id,BY4742_R1,BY4742_R2,BY4742_R3,SY14_R1,SY14_R2,SY14_R3
YBR062C,629,629,623,732,647,722
CNM1,262,262,229,211,196,257
ECM2,348,348,337,272,377,347
NRG2,335,335,244,254,280,311
TIP1,5860,5860,5308,5541,7312,7791
BAP2,9470,9470,9042,9678,7583,9182
TAT1,5672,5672,5496,5353,5051,5494
ALG14,463,463,418,430,539,541
YBR071W,841,841,795,737,803,885
YBR072C-A,0,0,0,0,0,0
HSP26,114,114,93,308,267,304
RDH54,1444,1444,1358,1335,1455,1558
PFF1,1150,1150,1100,955,961,1125
ECM8,60,60,50,66,80,73
SLM4,412,412,350,364,377,400
ECM33,12990,12990,13499,11254,11978,13496
RPG1,7538,7538,7265,7085,7287,8505
SEC18,1566,1566,1834,1586,1480,1771
SPT7,778,778,668,645,680,792
UBC4,3334,3334,3165,3197,3332,3567
TEC1,798,798,761,609,589,691
RPL19A,20409.59,20409.59,21191.46,18267.37,17102.27,18416.86
MIS1,3708,3708,3746,3413,3246,3771
YBR085C-A,257,257,201,267,354,309
AAC3,265,265,267,229,205,261
IST2,2400,2400,2622,2215,2287,2755
RFC5,769,769,754,712,700,877
POL30,2052,2052,1812,1705,1783,1921
NHP6B,775.99,775.99,597.97,692.99,696.97,693.97
YBR090C,24.01,24.01,17.03,11.01,31.03,19.03
TIM12,261,261,247,302,261,296
PHO3,6494,6494,6462,4472,5607,5700
PHO5,1119,1119,1052,1924,1622,2056
PBY1,678,678,721,595,625,737
RXT2,487,487,423,414,444,515
YBR096W,898,898,879,753,788,945
VPS15,365,365,337,324,322,422
MMS4,299,299,260,260,259,319
FES1,2144,2144,1910,2519,2085,2515
EXO84,622,622,588,613,597,689
SIF2,752,752,692,781,707,822
YMC2,1143,1143,1025,1072,1025,1100
VID24,1602,1602,1268,1540,1757,1928
SND3,11032,11032,10803,11653,10184,11026
IML3,242,242,225,259,257,309
AIM3,579,579,505,583,603,641
CMD1,2497,2497,2393,2173,2228,2487
ALG1,1122,1122,1036,965,1002,1212
YSA1,2029,2029,1976,1833,1572,1768
SUS1,210,210,160,160,211,203
CYC8,1318,1318,1390,1375,1449,1732
RAD16,1116,1116,1150,1272,1314,1343
LYS2,0,0,0,0,0,0
TKL2,164,164,152,147,182,188
TEF2,162494.15,162494.15,169998.95,157936.3,152608.87,170450.42
MUD1,378,378,365,284,325,375
CBP6,275,275,234,256,259,301
GRS1,8698,8698,8859,8338,8279,9633
MRPL36,792,792,662,728,744,761
TFC1,731,731,723,684,628,745
PTC4,622,622,571,575,499,675
TPS1,2016,2016,2074,2374,2228,2806
MEO1,63,63,59,105,96,86
VMA2,8507,8507,8459,7957,7767,8835
ATG14,130,130,145,133,127,163
OPY1,637,637,597,600,536,672
SHE3,1138,1138,1164,1055,1052,1204
CCZ1,397,397,354,317,306,348
AGP2,262,262,259,319,212,301
HSL7,952,952,945,936,927,1089
CKS1,336,336,288,291,353,367
MEC1,208,208,208,214,215,252
YBR137W,244,244,268,263,301,311
YBR138C,230,230,244,179,219,255
ATG42,598,598,626,559,660,715
IRA1,558,558,631,523,586,781
BMT2,532,532,489,614,575,568
MAK5,2074,2074,1930,1824,1928,2049
SUP45,7304,7304,7460,6610,6766,7466
YBR144C,0,0,0,2,0,5
ADH5,1243,1243,1090,1011,921,1169
MRPS9,1058,1058,965,1018,964,1033
RTC2,37,37,33,31,38,36
YSW1,97,97,61,59,68,72
ARA1,2057,2057,1964,2072,2091,2362
TBS1,225,225,217,262,251,346
APD1,1580,1580,1454,1509,1355,1574
SPP381,228,228,214,229,193,231
RIB7,412,412,395,362,395,465
RPB5,2315,2315,2381,2235,2147,2422
CNS1,1250,1250,1157,1267,1274,1399
SLI15,398,398,374,381,402,481
ICS2,276,276,277,301,226,276
AMN1,3147,3147,3379,2967,3321,3702
IFA38,2675,2675,2664,2650,2521,2839
CDC28,930,930,780,802,893,982
CSH1,388,388,345,324,384,442
TOS1,10026,10026,10122,8832,9017,10200
YSY6,167,167,136,156,170,117
EXO5,816,816,724,794,713,873
ARL1,842,842,776,667,739,805
UBS1,353,353,343,301,295,387
TYR1,1089,1089,955,998,944,1091
POP7,305,305,364,319,295,330
PEX32,261,261,314,218,253,303
SSE2,519,519,523,458,513,600
NPL4,967,967,978,1036,998,1176
SEC66,1472,1472,1440,1264,1231,1395
SMY2,1609,1609,1588,1368,1575,1871
UMP1,950,950,896,974,1029,1049
SWD3,558,558,512,467,506,556
ECM31,315,315,276,260,246,257
EHT1,1430,1430,1309,1329,1249,1392
FZO1,699,699,674,616,654,710
DTR1,102,102,101,73,95,71
RPS6B,22778.49,22778.49,23977.36,18666.43,20142.99,21068.22
SMP1,181,181,159,137,142,161
YBR182C-A,0,0,0,0,0,0
YPC1,83,83,91,72,99,97
YBR184W,42,42,21,32,37,49
MBA1,253,253,264,283,252,319
PCH2,222,222,254,231,260,287
GDT1,2540,2540,2418,2369,2206,2528
NTC20,98,98,122,105,122,120
RPS9B,34459.75,34459.75,34820.87,30794,29960.78,32015.92
RPL21A,22174.47,22174.47,22806.51,17401.08,17885.38,20043.07
RIM2,639,639,635,552,554,649
MED8,337,337,370,318,315,374
AIM4,85,85,72,87,92,73
MSI1,624,624,626,523,532,618
PGI1,17009,17009,18264,15816,16393,19072
YBR196C-A,0,0,0,0,0,0
YBR196C-B,0,0,0,0,0,0
YBR197C,440,440,363,396,398,404
TAF5,1863,1863,1739,1922,1792,2111
KTR4,1800,1800,1812,1625,1618,1856
BEM1,1089,1089,1042,998,1061,1181
YBR200W-A,0,0,0,0,0,0
MIN7,1,1,0,2,0,2
DER1,152,152,127,137,152,181
MCM7,1551,1551,1563,1345,1543,1756
COS111,375,375,355,408,373,493
LDH1,553,553,514,498,486,557
KTR3,1902,1902,1838,1711,1670,1905
FTH1,1271,1271,1253,1375,1220,1500
DUR12,714,714,686,820,767,902
YBR209W,0,0,0,0,0,2
ERV15,369,369,358,329,386,383
AME1,264,264,253,262,194,297
NGR1,1183,1183,1124,1189,1208,1422
MET8,171,171,164,206,196,215
SDS24,626,626,712,841,840,1102
HPC2,696,696,747,597,692,736
YBP1,637,637,617,590,616,651
ATG12,231,231,183,176,213,180
PYC2,3203.21,3203.21,3386.75,3118.65,3390.01,3781.49
YBR219C,77.4,77.4,58.82,81.46,43.18,63.83
YBR220C,1413.6,1413.6,1386.18,1422.54,1273.82,1412.17
PDB1,4713,4713,4877,4850,4310,4960
YBR221W-A,0,0,0,0,0,0
PCS60,1240,1240,1239,1190,1106,1384
TDP1,299,299,306,326,353,371
YBR225W,439,439,380,420,488,545
MCX1,813,813,834,801,774,853
SLX1,430,430,435,369,436,480
ROT2,1014,1014,1014,976,873,1147
OM14,478,478,455,496,532,597
COQ21,18,18,15,24,32,26
SWC5,773,773,721,898,806,842
PBP2,347,347,325,374,320,383
DAD3,159,159,150,126,125,123
ARC40,2572,2572,2427,2401,2525,2964
VHC1,995,995,957,881,867,1056
ABD1,832,832,808,782,759,873
PRP5,753,753,684,706,702,778
YBR238C,1773,1773,1632,1605,1742,1818
ERT1,394,394,402,362,439,460
THI2,64,64,47,42,61,46
