gene_id,BY4742_R1,BY4742_R2,BY4742_R3,SY14_R1,SY14_R2,SY14_R3
OCH1,35.36,35.36,33.92,33.35,36.61,34.37
YGL039W,29.15,29.15,25.68,30.01,34.89,39.23
HEM2,61.47,61.47,57.28,63.4,66.39,64.49
YGL041C-B,0,0,0,0,0,0
DPC13,46.51,46.51,43.98,38.17,41.02,41.64
DST1,52.9,52.9,52.98,52.77,56.79,58.09
RNA15,38.45,38.45,37.75,41.71,42.26,41.34
RIM8,7.05,7.05,6.43,6.95,7.18,6.83
ALG13,27.7,27.7,24.83,36.16,35.58,38.7
RPT6,134.32,134.32,125.25,149.82,154.54,147.82
TIF4632,18.21,18.21,17.73,19.11,20.55,21.88
TYW3,33.34,33.34,32.49,34.99,33.43,34.86
MST27,14.27,14.27,13.38,15.08,16.24,14.92
PRM8,24.82,24.82,23.49,21.34,26.01,26.77
ERV14,251.13,251.13,246.17,257.12,238.28,243.58
OLE1,366.45,366.45,352.13,342.13,389.55,367.19
SDS23,48.06,48.06,40.36,46.49,54.71,52.05
GEP7,10.92,10.92,10.24,10.9,12.69,10.41
RAD6,80.13,80.13,73.24,76.37,82.58,85.34
PKP2,9.18,9.18,7.64,8.54,9.3,9.43
YBP2,9.46,9.46,8.55,8.09,9.36,9.69
DUO1,19.17,19.17,18.04,19.21,19.48,18.85
PYC1,14.58,14.58,13.21,19.93,18.19,21.03
PUS2,19.32,19.32,14.82,26.46,23.86,23.48
MRH4,11.2,11.2,9.01,8.48,10.71,10.7
ALG2,18.76,18.76,17.11,19.89,18.18,22.72
SGF73,13.34,13.34,12.76,12.77,13.7,14.06
NPY1,28.4,28.4,26.48,31.84,30.6,31.44
MNP1,149.5,149.5,135.27,149.98,148.34,146.87
RPB9,124.61,124.61,126.4,138.69,126.56,144.47
AFT1,10.31,10.31,9.71,11.53,11.41,11.56
HSF1,17.96,17.96,16.77,20.73,20.62,23.31
MPS2,5.16,5.16,4.86,4.37,3.83,4.76
RPL7A,2296.12,2296.12,2304.45,2312.62,2342.16,2258.45
HNM1,71.24,71.24,63.93,67.71,70.66,72.65
DBP3,126.08,126.08,122.21,134.85,138.1,134.98
KXD1,27.4,27.4,29.6,25.51,27.38,31.1
MPC1,105.67,105.67,95.75,93.02,108.63,112.11
YGL081W,2.16,2.16,2.37,2.64,3.77,3.14
MIY3,31.16,31.16,29.14,32.48,28.64,32.66
SCY1,7.42,7.42,6.86,7.95,8.09,8.89
GUP1,21.36,21.36,20.97,21.46,20.3,22.44
LCL3,25.71,25.71,23.58,24.97,24.19,23.65
MAD1,12.64,12.64,12.67,12.39,14.57,14.64
MMS2,60.29,60.29,62.73,70.49,71.53,74.95
YGL088W,0,0,0,0,0.34,0
MF(ALPHA)2,1457.2,1457.2,1381.87,1418.42,1572.04,1432.36
LIF1,15.75,15.75,13.88,14.15,17.04,17.02
NBP35,24.79,24.79,23.77,24.56,27.7,30.34
NUP145,15.07,15.07,14.27,15.81,16.29,17.16
SPC105,9.8,9.8,8.93,10.33,9.9,10.68
PAN2,10.81,10.81,9.81,10.44,11.94,11.4
VPS45,19.25,19.25,18.43,17.4,19.14,19.55
TOS8,4.19,4.19,4.87,5.07,5.57,5.45
SRM1,67.79,67.79,66.61,67.42,68.14,67.77
USE1,29.05,29.05,26.61,26.33,33.09,31.03
LSG1,48.73,48.73,46.57,52.32,53.62,57.86
SEH1,60.88,60.88,58.01,62.87,61.14,64.65
YGK1,46.27,46.27,41.29,44.26,45.84,42.71
RPL28,6968.76,6968.76,7377.52,6451.15,6134.39,6294.22
VPS73,6.07,6.07,6.11,7.9,8.8,7.62
